FinancialYear,Attributes,FinancialData,YearofReport
FD2016Q4YTD,AdjustmentsToAdditionalPaidInCapitalWarrantIssued,17000000,2016-01-31
FD2016Q4YTD,AdjustmentsToAdditionalPaidInCapitalWarrantIssued,17000000,2016-01-31
FD2015Q4YTD,AffordableHousingTaxCreditsAndOtherTaxBenefitsAmount,1100000000,2016-01-31
FD2016Q4YTD,AffordableHousingTaxCreditsAndOtherTaxBenefitsAmount,1200000000,2016-01-31
FD2012Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,10973000000,2016-01-31
FD2012Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,651000000,2016-01-31
FD2012Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,1404000000,2016-01-31
FD2012Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,2001000000,2016-01-31
FD2012Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,191000000,2016-01-31
FD2012Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,759000000,2016-01-31
FD2012Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,8972000000,2016-01-31
FD2012Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,1105000000,2016-01-31
FD2012Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,3020000000,2016-01-31
FD2012Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,382000000,2016-01-31
FD2012Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,3437000000,2016-01-31
FD2012Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,24000000,2016-01-31
FD2013Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,6410000000,2016-01-31
FD2013Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,625000000,2016-01-31
FD2013Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,739000000,2016-01-31
FD2013Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,991000000,2016-01-31
FD2013Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,28000000,2016-01-31
FD2013Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,754000000,2016-01-31
FD2013Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,5419000000,2016-01-31
FD2013Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,1022000000,2016-01-31
FD2013Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,1439000000,2016-01-31
FD2013Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,190000000,2016-01-31
FD2013Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,1579000000,2016-01-31
FD2013Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,34000000,2016-01-31
FD2014Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,4724000000,2016-01-31
FD2014Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,729000000,2016-01-31
FD2014Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,627000000,2016-01-31
FD2014Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,717000000,2016-01-31
FD2014Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,9000000,2016-01-31
FD2014Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,668000000,2016-01-31
FD2014Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,4007000000,2016-01-31
FD2014Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,1025000000,2016-01-31
FD2014Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,721000000,2016-01-31
FD2014Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,66000000,2016-01-31
FD2014Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,864000000,2016-01-31
FD2014Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,15000000,2016-01-31
FD2015Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,4454000000,2016-01-31
FD2015Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,742000000,2016-01-31
FD2015Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,734000000,2016-01-31
FD2015Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,811000000,2016-01-31
FD2015Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,4000000,2016-01-31
FD2015Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,643000000,2016-01-31
FD2015Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,3643000000,2016-01-31
FD2015Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,1116000000,2016-01-31
FD2015Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,507000000,2016-01-31
FD2015Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,59000000,2016-01-31
FD2015Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,635000000,2016-01-31
FD2015Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,14000000,2016-01-31
FD2016Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,5247000000,2016-01-31
FD2016Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,845000000,2016-01-31
FD2016Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,1419000000,2016-01-31
FD2016Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,1488000000,2016-01-31
FD2016Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,1000000,2016-01-31
FD2016Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,708000000,2016-01-31
FD2016Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,3759000000,2016-01-31
FD2016Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,1259000000,2016-01-31
FD2016Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,452000000,2016-01-31
FD2016Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,27000000,2016-01-31
FD2016Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,495000000,2016-01-31
FD2016Q4YTD,AllowanceForLoanAndLeaseLossesWriteOffs,41000000,2016-01-31
FD2012Q4YTD,AllowanceForLoanAndLeaseLossesWriteoffsNet,9034000000,2016-01-31
FD2013Q4YTD,AllowanceForLoanAndLeaseLossesWriteoffsNet,4509000000,2016-01-31
FD2014Q4YTD,AllowanceForLoanAndLeaseLossesWriteoffsNet,2945000000,2016-01-31
FD2015Q4YTD,AllowanceForLoanAndLeaseLossesWriteoffsNet,2892000000,2016-01-31
FD2015Q4YTD,AllowanceForLoanAndLeaseLossesWriteoffsNet,387000000,2016-01-31
FD2015Q4YTD,AllowanceForLoanAndLeaseLossesWriteoffsNet,2505000000,2016-01-31
FD2016Q4YTD,AllowanceForLoanAndLeaseLossesWriteoffsNet,3520000000,2016-01-31
FD2016Q4YTD,AllowanceForLoanAndLeaseLossesWriteoffsNet,1060000000,2016-01-31
FD2016Q4YTD,AllowanceForLoanAndLeaseLossesWriteoffsNet,2460000000,2016-01-31
FI2015Q4,AlternativeInvestmentsFairValueDisclosure,642000000,2016-01-31
FI2015Q4,AlternativeInvestmentsFairValueDisclosure,179000000,2016-01-31
FI2015Q4,AlternativeInvestmentsFairValueDisclosure,605000000,2016-01-31
FI2015Q4,AlternativeInvestmentsFairValueDisclosure,376000000,2016-01-31
FI2015Q4,AlternativeInvestmentsFairValueDisclosure,619000000,2016-01-31
FI2015Q4,AlternativeInvestmentsFairValueDisclosure,286000000,2016-01-31
FI2015Q4,AlternativeInvestmentsFairValueDisclosure,23000000,2016-01-31
FI2016Q4,AlternativeInvestmentsFairValueDisclosure,48000000,2016-01-31
FI2016Q4,AlternativeInvestmentsFairValueDisclosure,189000000,2016-01-31
FI2016Q4,AlternativeInvestmentsFairValueDisclosure,592000000,2016-01-31
FI2016Q4,AlternativeInvestmentsFairValueDisclosure,35000000,2016-01-31
FI2016Q4,AlternativeInvestmentsFairValueDisclosure,48000000,2016-01-31
FI2016Q4,AlternativeInvestmentsFairValueDisclosure,13000000,2016-01-31
FI2016Q4,AlternativeInvestmentsFairValueDisclosure,0,2016-01-31
FD2014Q4YTD,AmortizationOfIntangibleAssets,1370000000,2016-01-31
FD2015Q4YTD,AmortizationOfIntangibleAssets,1246000000,2016-01-31
FD2016Q4YTD,AmortizationOfIntangibleAssets,1192000000,2016-01-31
FD2016Q4YTD,AmortizationOfIntangibleAssets,919000000,2016-01-31
FD2016Q4YTD,AmortizationOfIntangibleAssets,290000000,2016-01-31
FD2016Q4YTD,AmortizationOfIntangibleAssets,1478000000,2016-01-31
FD2016Q4YTD,AmortizationOfIntangibleAssets,18000000,2016-01-31
FD2016Q4YTD,AmortizationOfIntangibleAssets,269000000,2016-01-31
FD2014Q4YTD,AmortizationOfMortgageServicingRightsMSRs,254000000,2016-01-31
FD2014Q4YTD,AmortizationOfMortgageServicingRightsMSRs,254000000,2016-01-31
FD2015Q4YTD,AmortizationOfMortgageServicingRightsMSRs,258000000,2016-01-31
FD2015Q4YTD,AmortizationOfMortgageServicingRightsMSRs,258000000,2016-01-31
FD2016Q4YTD,AmortizationOfMortgageServicingRightsMSRs,269000000,2016-01-31
FD2016Q4YTD,AmortizationOfMortgageServicingRightsMSRs,269000000,2016-01-31
FD2014Q4YTD,AmountRecognizedInNetPeriodicBenefitCostAndOtherComprehensiveIncomeLossBeforeTax,159000000,2016-01-31
FD2014Q4YTD,AmountRecognizedInNetPeriodicBenefitCostAndOtherComprehensiveIncomeLossBeforeTax,116000000,2016-01-31
FD2014Q4YTD,AmountRecognizedInNetPeriodicBenefitCostAndOtherComprehensiveIncomeLossBeforeTax,718000000,2016-01-31
FD2015Q4YTD,AmountRecognizedInNetPeriodicBenefitCostAndOtherComprehensiveIncomeLossBeforeTax,-35000000,2016-01-31
FD2015Q4YTD,AmountRecognizedInNetPeriodicBenefitCostAndOtherComprehensiveIncomeLossBeforeTax,0,2016-01-31
FD2015Q4YTD,AmountRecognizedInNetPeriodicBenefitCostAndOtherComprehensiveIncomeLossBeforeTax,347000000,2016-01-31
FD2016Q4YTD,AmountRecognizedInNetPeriodicBenefitCostAndOtherComprehensiveIncomeLossBeforeTax,-250000000,2016-01-31
FD2016Q4YTD,AmountRecognizedInNetPeriodicBenefitCostAndOtherComprehensiveIncomeLossBeforeTax,35000000,2016-01-31
FD2016Q4YTD,AmountRecognizedInNetPeriodicBenefitCostAndOtherComprehensiveIncomeLossBeforeTax,119000000,2016-01-31
FD2014Q4YTD,AncillaryFeeIncomeGeneratedByServicingFinancialAssetsAmount,319000000,2016-01-31
FD2015Q4YTD,AncillaryFeeIncomeGeneratedByServicingFinancialAssetsAmount,288000000,2016-01-31
FD2016Q4YTD,AncillaryFeeIncomeGeneratedByServicingFinancialAssetsAmount,229000000,2016-01-31
FD2014Q4YTD,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,8000000,2016-01-31
FD2015Q4YTD,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,5700000,2016-01-31
FD2016Q4YTD,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,3200000,2016-01-31
FI2015Q4,Assets,1787632000000,2016-01-31
FI2015Q4,Assets,343625000000,2016-01-31
FI2015Q4,Assets,5636000000,2016-01-31
FI2015Q4,Assets,1185000000,2016-01-31
FI2015Q4,Assets,482000000,2016-01-31
FI2015Q4,Assets,3654000000,2016-01-31
FI2015Q4,Assets,295000000,2016-01-31
FI2015Q4,Assets,20000000,2016-01-31
FI2015Q4,Assets,12923000000,2016-01-31
FI2015Q4,Assets,7287000000,2016-01-31
FI2015Q4,Assets,4887000000,2016-01-31
FI2015Q4,Assets,2400000000,2016-01-31
FI2015Q4,Assets,44845000000,2016-01-31
FI2015Q4,Assets,5600000000,2016-01-31
FI2015Q4,Assets,5636000000,2016-01-31
FI2015Q4,Assets,7287000000,2016-01-31
FI2015Q4,Assets,57768000000,2016-01-31
FI2016Q4,Assets,1930115000000,2016-01-31
FI2016Q4,Assets,365520000000,2016-01-31
FI2016Q4,Assets,13414000000,2016-01-31
FI2016Q4,Assets,1516000000,2016-01-31
FI2016Q4,Assets,8623000000,2016-01-31
FI2016Q4,Assets,142000000,2016-01-31
FI2016Q4,Assets,2974000000,2016-01-31
FI2016Q4,Assets,146000000,2016-01-31
FI2016Q4,Assets,13000000,2016-01-31
FI2016Q4,Assets,14550000000,2016-01-31
FI2016Q4,Assets,1136000000,2016-01-31
FI2016Q4,Assets,138000000,2016-01-31
FI2016Q4,Assets,998000000,2016-01-31
FI2016Q4,Assets,41020000000,2016-01-31
FI2016Q4,Assets,13414000000,2016-01-31
FI2016Q4,Assets,13400000000,2016-01-31
FI2016Q4,Assets,1136000000,2016-01-31
FI2016Q4,Assets,55570000000,2016-01-31
FI2015Q4,AssetsFairValueDisclosure,0,2016-01-31
FI2015Q4,AssetsFairValueDisclosure,66232000000,2016-01-31
FI2015Q4,AssetsFairValueDisclosure,6823000000,2016-01-31
FI2015Q4,AssetsFairValueDisclosure,357215000000,2016-01-31
FI2015Q4,AssetsFairValueDisclosure,1422000000,2016-01-31
FI2015Q4,AssetsFairValueDisclosure,27641000000,2016-01-31
FI2015Q4,AssetsFairValueDisclosure,8245000000,2016-01-31
FI2015Q4,AssetsFairValueDisclosure,8531000000,2016-01-31
FI2015Q4,AssetsFairValueDisclosure,384164000000,2016-01-31
FI2015Q4,AssetsFairValueDisclosure,384187000000,2016-01-31
FI2016Q4,AssetsFairValueDisclosure,0,2016-01-31
FI2016Q4,AssetsFairValueDisclosure,60573000000,2016-01-31
FI2016Q4,AssetsFairValueDisclosure,3839000000,2016-01-31
FI2016Q4,AssetsFairValueDisclosure,422888000000,2016-01-31
FI2016Q4,AssetsFairValueDisclosure,1769000000,2016-01-31
FI2016Q4,AssetsFairValueDisclosure,23463000000,2016-01-31
FI2016Q4,AssetsFairValueDisclosure,5608000000,2016-01-31
FI2016Q4,AssetsFairValueDisclosure,5621000000,2016-01-31
FI2016Q4,AssetsFairValueDisclosure,436293000000,2016-01-31
FI2016Q4,AssetsFairValueDisclosure,436293000000,2016-01-31
FI2015Q4,AssetsNet,4185000000,2016-01-31
FI2015Q4,AssetsNet,1185000000,2016-01-31
FI2015Q4,AssetsNet,482000000,2016-01-31
FI2015Q4,AssetsNet,2415000000,2016-01-31
FI2015Q4,AssetsNet,101000000,2016-01-31
FI2015Q4,AssetsNet,2000000,2016-01-31
FI2015Q4,AssetsNet,4828000000,2016-01-31
FI2015Q4,AssetsNet,643000000,2016-01-31
FI2015Q4,AssetsNet,43000000,2016-01-31
FI2015Q4,AssetsNet,600000000,2016-01-31
FI2015Q4,AssetsNet,41195000000,2016-01-31
FI2015Q4,AssetsNet,4185000000,2016-01-31
FI2015Q4,AssetsNet,643000000,2016-01-31
FI2015Q4,AssetsNet,46023000000,2016-01-31
FI2016Q4,AssetsNet,9442000000,2016-01-31
FI2016Q4,AssetsNet,1516000000,2016-01-31
FI2016Q4,AssetsNet,5790000000,2016-01-31
FI2016Q4,AssetsNet,73000000,2016-01-31
FI2016Q4,AssetsNet,1971000000,2016-01-31
FI2016Q4,AssetsNet,88000000,2016-01-31
FI2016Q4,AssetsNet,4000000,2016-01-31
FI2016Q4,AssetsNet,9535000000,2016-01-31
FI2016Q4,AssetsNet,93000000,2016-01-31
FI2016Q4,AssetsNet,2000000,2016-01-31
FI2016Q4,AssetsNet,91000000,2016-01-31
FI2016Q4,AssetsNet,37057000000,2016-01-31
FI2016Q4,AssetsNet,9442000000,2016-01-31
FI2016Q4,AssetsNet,93000000,2016-01-31
FI2016Q4,AssetsNet,46592000000,2016-01-31
FD2015Q4YTD,AssumptionForFairValueOfAssetsOrLiabilitiesThatRelateToTransferorsContinuingInvolvementWeightedAverageLife1,P3Y7M6D,2016-01-31
FD2015Q4YTD,AssumptionForFairValueOfAssetsOrLiabilitiesThatRelateToTransferorsContinuingInvolvementWeightedAverageLife1,P6Y0M0D,2016-01-31
FD2015Q4YTD,AssumptionForFairValueOfAssetsOrLiabilitiesThatRelateToTransferorsContinuingInvolvementWeightedAverageLife1,P5Y9M27D,2016-01-31
FD2015Q4YTD,AssumptionForFairValueOfAssetsOrLiabilitiesThatRelateToTransferorsContinuingInvolvementWeightedAverageLife1,P1Y10M24D,2016-01-31
FD2015Q4YTD,AssumptionForFairValueOfAssetsOrLiabilitiesThatRelateToTransferorsContinuingInvolvementWeightedAverageLife1,P11Y7M6D,2016-01-31
FD2016Q4YTD,AssumptionForFairValueOfAssetsOrLiabilitiesThatRelateToTransferorsContinuingInvolvementWeightedAverageLife1,P3Y10M24D,2016-01-31
